"cnpj","dataReferencia","codigoCVM","codigoCVM2","codigoCVMsemDigito","codB3","setorCVM","dataConstituicao","dataSituacaoRegistroCVM","nomeEmpresarial","especieControleAcionario","mesEncerraExercSocial","descricaoAtividade"
"03.025.305/0001-46",2023-01-01,"23167","23167","2316",NA,"Serviços Transporte e Logística","1999-02-26","2013-04-25","RODOVIAS DAS COLINAS S.A.","Privado",12,"Exploração do Sistema Rodoviário relativo ao Lote 13: Malha Rodoviária Estadual de Ligação entre Rio Claro, Piracicaba, Tietê, Jundiaí e Itu, Campinas."
"03.076.274/0001-52",2012-01-01,"18929","18929","1892",NA,"Energia Elétrica","1999-03-04","2001-03-29","MACHADINHO ENERGÉTICA SA","Privado",12,"Arrendamento Mercantil"
"03.052.673/0001-83",2016-01-01,"18740","18740","1874",NA,"Telecomunicações","1999-03-22","2000-08-31","ELETRONET S/A","Privado",12,"TRANSPORTE DE SINAIS DE INFORMAÇÕES E PRESTAÇÃO DE SERVIÇOS DE TELECOMUNICAÇÕES"
"02.643.896/0001-52",2022-01-01,"18430","18430","1843",NA,"Securitização de Recebíveis","1999-06-08","1999-09-14","REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.","Privado",12,"Securitização de Recebíveis"
"03.207.703/0001-83",2023-01-01,"21849","21849","2184",NA,"Serviços Transporte e Logística","1999-06-08","2009-11-27","CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A","Privado Holding",12,"Concessionaria de Rodovias"
"03.279.285/0001-30",2023-01-01,"27049","27049","2704",NA,"Saneamento, Serv. Água e Gás","1999-06-14","2022-12-19","Orizon Meio Ambiente S.A.","Privado",12,"Atuação na cadeia de gestão de resíduos: tratamento e destinação final de resíduos exploração do biogás, energia e créditos de carbono beneficiamento de resíduos e serviços de engenharia ambiental."
"03.220.438/0001-73",2023-01-01,"20010","20010","2001","EQTL","Energia Elétrica","1999-06-16","2006-03-30","EQUATORIAL ENERGIA S.A.","Privado",12,"Empresa holding com atuação no setor elétrico"
"03.342.704/0001-30",2023-01-01,"25780","25780","2578","RECV","Emp. Adm. Part. - Petróleo e Gás","1999-07-21","2021-04-30","PETRORECÔNCAVO S.A.","Privado",12,"Exploração e produção de petróleo e gás natural"
"03.378.521/0001-75",2023-01-01,"19879","19879","1987","LIGT","Emp. Adm. Part. - Energia Elétrica","1999-07-27","2005-12-12","LIGHT S.A. - Em Recuperação Judicial","Privado",12,"Participação em sociedades p/ exploração serviços de energia elétrica"
"03.410.855/0001-89",2011-01-01,"19216","19216","1921",NA,"Emp. Adm. Part. - Extração Mineral","1999-08-20","2002-01-22","CP CIMENTO E PARTICIPAÇÕES S/A","Privado Holding",12,"PARTICIP. EM EMPRESAS FABRIC. CIMENTO E MATS CONSTRUÇÃO"
"03.392.498/0001-73",2012-01-01,"18872","18872","1887",NA,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração","1999-08-24","2001-02-05","RIOEST ESTACIONAMENTOS SA","Privado",12,"EXPLORAÇÃO DA CONCESSÃO DE SERVIÇO PUBLICO"
"03.587.889/0001-43",2011-01-01,"18635","18635","1863",NA,"Emp. Adm. Part. - Sem Setor Principal","1999-09-20","2000-03-14","PRIVATINVEST PARTICIPAÇÕES SA","Privado",12,"Administração e participação"
"00.187.032/0001-48",2010-01-01,"20249","20249","2024","KSSA","Construção Civil, Mat. Constr. e Decoração","1999-10-20","2006-08-14","KLABIN SEGALL S/A","Privado",12,"Promoção, construção e administração de empreendimentos imobiliários de qualquer natureza, próprios ou de terceiros. Compra, venda e negociação de imóveis em geral."
"03.559.006/0001-91",2019-01-01,"19860","19860","1986",NA,"Securitização de Recebíveis","1999-11-17","2005-10-31","RB CAPITAL SECURITIZADORA S.A.","Privado",12,"Aquisição de créditos imobiliários e de títulos e valores mobiliários lastreados em créditos imobiliários Gestão e administração de carteiras de crédito imobiliário, próprias ou de terceiros, etc."
"03.616.277/0001-31",2014-01-01,"18651","18651","1865","VDNP","Emp. Adm. Part. - Sem Setor Principal","1999-11-22","2000-04-18","ARAUCÁRIA PARTICIPAÇÕES SA","Privado",12,"A participação: - em outras sociedades, comerciais ou civis, nacionais ou estrangeiras, como sócia, acionista ou quotista - em empr. imobiliáriios e-como quotista em fundos de investimento"
"03.538.833/0001-07",2023-01-01,"20001","20001","2000",NA,"Emp. Adm. Part. - Sem Setor Principal","1999-11-23","2006-03-22","XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A.","Privado Holding",12,"Administração de imóveis próprios, a incorporação imobiliária, a locação de bens, a gestão patrimonial, participação no capital de outras sociedades e fundos de investimento regularmente constituídos"
"03.601.314/0001-38",2018-01-01,"19437","19437","1943","ANDG","Emp. Adm. Part. - Sem Setor Principal","1999-12-13","2003-09-01","ANDRADE GUTIERREZ CONCESSOES S.A.","Privado Holding",12,"Gestão e participações societárias (holding)"
"03.634.795/0001-88",2010-01-01,"18694","18694","1869","VPSC","Emp. Adm. Part. - Serviços Transporte e Logística","2000-01-01","2010-01-04","VARIG PARTIC. EM SERVIÇOS COMPLEMENTARES","Privado",12,"Investimentos e participações societárias em empresas com atividades complementares às de transportes aéreos e secundariamente a participação em outras sociedades ou empreendimentos."
"03.634.777/0001-04",2010-01-01,"18686","18686","1868","VPTA","Emp. Adm. Part. - Serviços Transporte e Logística","2000-01-28","2010-01-04","VARIG PARTICIPAÇÕES EM TRANSP AÉREOS S/A","Privado",12,"Investimentos e participações societárias em empresas de transporte aéreo."
"03.758.318/0001-24",2023-01-01,"18775","18775","1877","IVPR","Emp. Adm. Part. - Serviços Transporte e Logística","2000-03-20","2000-09-29","INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR","Privado",12,"Foi constituída sob a forma de sociedade anônima e tem como objeto social a participação em outras sociedades."
"03.820.456/0001-96",2023-01-01,"26883","26883","2688",NA,"Emp. Adm. Part. - Energia Elétrica","2000-03-24","2022-07-13","BSB Energética S.A.","Privado Holding",12,"Geração, comercialização e distribuição de energia elétrica, bem como participação e investimentos em outras sociedades com atividades semelhantes ao seu objeto social."
"03.847.461/0001-92",2023-01-01,"18724","18724","1872","BRAP","Emp. Adm. Part. - Extração Mineral","2000-03-30","2000-08-07","BRADESPAR S.A.","Privado Holding",12,"Participação como sócia ou acionista de outras Sociedades."
"03.767.538/0001-14",2023-01-01,"18759","18759","1875",NA,"Securitização de Recebíveis","2000-04-10","2000-09-04","BRAZILIAN SECURITIES CIA SECURITIZACAO","Privado",12,""
"03.802.115/0001-98",2023-01-01,"26093","26093","2609","CLSA","Comunicação e Informática","2000-04-24","2021-07-28","CLEAR SALE S.A.","Privado",12,"Desenvolvimento e licenciamento de programas de computador customizáveis"
"03.795.050/0001-09",2023-01-01,"19852","19852","1985",NA,"Energia Elétrica","2000-04-25","2005-10-31","TERMOPERNAMBUCO S.A.","Privado",12,""
"03.818.379/0001-30",2023-01-01,"24490","24490","2449",NA,"Educação","2000-05-15","2018-08-13","Saber Serviços Educacionais S.A.","Privado",12,"Administração instituições que ministrem educação infantil (pré-escola e creche), ensino fundamental e médio que prestem serviços de consultoria que realizem pesquisas e promovam treinamento."
"03.853.896/0001-40",2023-01-01,"20788","20788","2078","MRFG","Alimentos","2000-06-06","2007-06-18","MARFRIG GLOBAL FOODS S.A.","Privado",12,"Produção e distribuição de alimentos à base de carne bovina, suína, ovina e avícola, in natura, elaborados e processados, couros semi-terminados e terminados, além de outros produtos alimentícios."
"03.870.455/0005-80",2017-01-01,"23736","23736","2373","FOMS","Alimentos","2000-06-09","2015-10-15","FORNO DE MINAS ALIMENTOS S.A.","Privado",12,"Fabricação e comercialização de derivados de leite, massas e outros produtos alimentíceos participação e/ou investimentos em outras sociedades no pais e/ou no exterior, dentre outros."
"03.953.509/0001-47",2023-01-01,"18953","18953","1895","CPFG","Energia Elétrica","2000-07-19","2001-06-07","CPFL GERACAO DE ENERGIA S.A.","Privado",12,"Geração de Energia Elétrica"
"03.983.431/0001-03",2023-01-01,"19763","19763","1976","ENBR","Energia Elétrica","2000-07-24","2005-07-05","EDP - ENERGIAS DO BRASIL S.A.","Estrangeiro Holding",12,"Área de Negócios: Geração, Distribuição, Transmissão e Comercialização de Energia Elétrica"
"04.030.087/0001-09",2012-01-01,"19089","19089","1908","COAR","Telecomunicações","2000-07-31","2001-10-29","COARI PARTICIPAÇÕES SA","Privado Holding",12,""
"04.034.792/0001-76",2016-01-01,"19070","19070","1907","CALA","Emp. Adm. Part. - Arrendamento Mercantil","2000-07-31","2001-10-29","DOMMO EMPREENDIMENTOS IMOBILIÁRIOS S.A","Privado Holding",12,"Compra, venda e incorporação de imóveis Arrendamento, exploração comercial, locação e sublocação Administração e Participação em negócios imobiliários, entre outros afins."
"04.030.182/0001-02",2023-01-01,"19119","19119","1911","CABI","Emp. Adm. Part. - Sem Setor Principal","2000-07-31","2001-10-29","CABINDA PARTICIPACOES S.A.","Privado Holding",12,"A Companhia tem por objeto social a participação em outras sociedades, comerciais e civis, como sócia, acionista ou quotista, no país ou no exterior."
"04.031.213/0001-31",2023-01-01,"19135","19135","1913","CACO","Emp. Adm. Part. - Sem Setor Principal","2000-07-31","2001-10-29","CACONDE PARTICIPACOES S.A.","Privado Holding",12,"A Companhia tem por objeto social a participação em outras sociedades comerciais e civis, como sócia, acionista ou quotista, no país ou no exterior."
"04.032.433/0001-80",2023-01-01,"19100","19100","1910","ATMP","Emp. Adm. Part. - Comunicação e Informática","2000-07-31","2001-10-29","ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL","Privado",12,"A ATMA Participações S.A. tem como objeto social a participação, direta e indireta, em outras sociedades comerciais e civis, como sócia, acionista ou quotista, no país ou no exterior."
"04.038.763/0001-82",2023-01-01,"19097","19097","1909","CAIA","Emp. Adm. Part. - Sem Setor Principal","2000-07-31","2001-10-29","CAIANDA PARTICIPACOES S.A.","Privado Holding",12,"A Companhia tem por objeto Social a participação em outras sociedades, comerciais e civis, como sócia, acionista ou quotista, no país ou no exterior."
"04.065.791/0001-99",2023-01-01,"22799","22799","2279","SQIA","Comunicação e Informática","2000-08-04","2012-04-26","Sinqia S.A.","Privado",12,"Produção, desenvolvimento, licenciamento, sublicenciamento e distribuição de programas de computador (software) e outras atividades, conforme descritas no Estatuto Social da Companhia."
"04.031.960/0001-70",2019-01-01,"19062","19062","1906","CANT","Emp. Adm. Part. - Sem Setor Principal","2000-09-05","2001-10-29","ANDRADE GUTIERREZ PARTICIPACOES S.A.","Privado Holding",12,"Grupo 1 - Dados da Empresa - 06 - Características da Empresa  GESTÃO DE PARTICIPAÇÕES SOCIETÁRIAS (HOLDING)"
"04.069.709/0001-02",2023-01-01,"25925","25925","2592",NA,"Comunicação e Informática","2000-09-13","2021-06-02","Bionexo S.A.","Privado",12,"Participação em outras empresas ou sociedades, negócios e empreendimentos desenvolvimento, licenciamento e implementação de softwares."
"04.065.053/0001-41",2023-01-01,"27391","27391","2739",NA,"Construção Civil, Mat. Constr. e Decoração","2000-09-25","2023-12-27","BRZ Empreendimentos e Construções S.A.","Privado",12,"Incorporação, construção e comercialização de empreendimentos imobiliários, loteamentos e incorporações imobiliárias de imóveis próprios ou de terceiros."
"04.089.570/0001-50",2023-01-01,"23442","23442","2344",NA,"Saneamento, Serv. Água e Gás","2000-09-29","2014-08-06","ÁGUAS GUARIROBA S.A","Privado",12,"A Companhia presta serviços públicos de abastecimento de água e esgotamento sanitário emtoda a área territorial do município de Campo Grande, Estado do Mato Grosso do Sul."
"04.200.649/0001-07",2023-01-01,"19429","19429","1942",NA,"Securitização de Recebíveis","2000-10-18","2003-08-21","COMPANHIA PROVINCIA DE SECURITIZACAO","Privado",12,"Securitização de Recebíveis Imobiliários, Agrários e Geral"
"04.128.563/0001-10",2021-01-01,"18970","18970","1897","TIET","Emp. Adm. Part. - Energia Elétrica","2000-11-06","2001-06-29","AES TIETE ENERGIA SA","Privado",12,"Geração e Comercialização de Energia Elétrica"
"04.149.454/0001-80",2023-01-01,"19453","19453","1945","ECOR","Serviços Transporte e Logística","2000-11-07","2003-09-24","ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","Privado Holding",12,"Exploração direta ou indireta de negócios de concessão de obras e serviços públicos e organização logísitica do transporte de carga."
"08.070.508/0001-78",2023-01-01,"23230","23230","2323",NA,"Agricultura (Açúcar, Álcool e Cana)","2000-11-16","2013-10-21","RAIZEN ENERGIA S.A.","Privado",3,"Produção de etanol, açúcar e bionergia."
"04.172.213/0001-51",2023-01-01,"19275","19275","1927","CPFP","Energia Elétrica","2000-12-01","2002-04-18","CIA PIRATININGA DE FORCA E LUZ","Privado",12,"Prestação de serviços públicos de distribuição de energia elétrica."
"04.212.396/0001-91",2023-01-01,"27324","27324","2732",NA,"Emp. Adm. Part. - Comunicação e Informática","2000-12-21","2023-10-03","Agasus S.A.","Privado",12,"Tecnologia e Informática"
"04.233.319/0001-18",2023-01-01,"24015","24015","2401",NA,"Emp. Adm. Part. - Sem Setor Principal","2000-12-26","2016-10-03","NCF PARTICIPAÇÕES S/A","Privado Holding",12,"A Sociedade tem por objeto participação como sócia ou acionista em outras sociedades realização de aplicações em títulos e valores mobiliários."
"04.310.392/0001-46",2014-01-01,"18961","18961","1896","AEDU","Emp. Adm. Part. - Educação","2001-02-19","2001-06-08","ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.","Privado Holding",12,"A Companhia tem como atividade principal a participação em outras sociedades de ensino superior."
"04.370.082/0001-17",2016-01-01,"19380","19380","1938",NA,"Securitização de Recebíveis","2001-03-05","2003-05-08","BRPR 53 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.","Privado",12,""
"04.370.450/0001-27",2017-01-01,"19356","19356","1935",NA,"Securitização de Recebíveis","2001-03-05","2002-12-30","REC SÃO BERNARDO SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A","Privado",12,""
"04.368.898/0001-06",2023-01-01,"26808","26808","2680",NA,"Energia Elétrica","2001-03-20","2022-05-19","Copel Distribuição S.A.","Estatal Holding",12,"Prestação de serviço público de distribuição de energia elétrica e serviços correlatos."
"04.370.282/0001-70",2023-01-01,"24740","24740","2474",NA,"Energia Elétrica","2001-03-20","2019-06-27","COPEL GERAÇÃO E TRANSMISSÃO S.A.","Estatal Holding",12,"Geração, Transmissão, Comercialização de Energia e Prestação de Serviços Correlatos"
"04.437.534/0001-30",2023-01-01,"21555","21555","2155","LCAM","Serviços Transporte e Logística","2001-03-30","2008-07-29","Locamérica Rent-a-Car S.A.","Privado",12,"Aluguel de carros e gestão de frotas."
"04.368.865/0001-66",2023-01-01,"27367","27367","2736",NA,"Telecomunicações","2001-04-04","2023-11-14","Ligga Telecomunicações S.A.","Privado",12,"Serviços de telecomunicações, de comunicações e serviços correlados, com e sem fornecimento de materiais."
"04.423.567/0001-21",2023-01-01,"21237","21237","2123","ENEV","Energia Elétrica","2001-04-25","2007-12-07","ENEVA S.A","Privado",12,"Empresa atuante na área de energia, em especial no segmento de geração, distribuição, comercialização, exportação e importação de energia elétrica, hidrocarbonetos e seus derivados."
"04.634.250/0001-34",2020-01-01,"19224","19224","1922",NA,"Emp. Adm. Part. - Sem Setor Principal","2001-06-22","2002-01-31","NOVA ACAO PARTICIPACOES S.A.","Privado",12,"Administração de bens próprios e a participação em sociedes mercantis ou civis."
"05.197.443/0001-38",2023-01-01,"24392","24392","2439","HAPV","Serviços médicos","2001-08-30","2018-04-20","HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.","Privado Holding",12,"Participação, como sócia ou acionista, em outras empresas, predominantemente de assistência médica, bem como a realização de investimentos diretos e a exploração de atividades de prestação de serviços"
"04.781.143/0001-39",2016-01-01,"19607","19607","1960",NA,"Energia Elétrica","2001-09-17","2004-09-29","BAESA-ENERGETICA BARRA GRANDE SA","Privado",12,"Geração de energia elétrica"
"04.752.991/0001-10",2023-01-01,"19305","19305","1930","BIOM","Farmacêutico e Higiene","2001-09-19","2002-08-19","BIOMM S.A.","Privado",12,"Empresa brasileira com sua atividade focada no desenvolvimento e comercialização de medicamentos biotecnológicos por meio de parcerias estratégicas e fábrica própria."
"04.705.090/0001-77",2011-01-01,"19267","19267","1926","SZPQ","Petroquímicos e Borracha","2001-09-25","2002-03-25","QUATTOR PETROQUÍMICA S.A.","Privado",12,"INDUSTRIA PETROQUIMICA- PETROQUIMICA, COMBUSTIVEIS E BORRACHA"
"04.800.265/0001-25",2015-01-01,"19372","19372","1937",NA,"Securitização de Recebíveis","2001-10-30","2003-03-24","BRPR 51 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.","Privado",12,""
"04.739.720/0001-24",2023-01-01,"24945","24945","2494",NA,"Energia Elétrica","2001-10-31","2020-05-04","USINA TERMELÉTRICA PAMPA SUL S.A.","Privado",12,"A principal atividade da Companhia é a geração de energia elétrica mediante a operação da Usina Termelétrica Pampa Sul."
"04.665.504/0001-81",2010-01-01,"19178","19178","1917",NA,"Emp. Adm. Part. - Petróleo e Gás","2001-11-14","2001-12-05","NOVAMARLIM PARTICIPAÇÕES S/A","Privado Holding",12,""
"02.932.074/0001-91",2023-01-01,"21431","21431","2143","HYPE","Farmacêutico e Higiene","2001-12-01","2008-04-16","HYPERA S.A.","Privado",12,"Fabricacão de Medicamentos Alopáticos para uso humano"
"39.346.861/0350-38",2023-01-01,"26530","26530","2653",NA,"Comércio (Atacado e Varejo)","2001-12-01","2021-12-22","CENCOSUD BRASIL COMERCIAL S.A.","Estrangeiro",12,"Comércio (Atacado e Varejo) atividades de panificação, correspondente bancário, estacionamento para veículos, importação e exportação participação no capital de outras sociedades dentre outras."
"04.821.041/0001-08",2023-01-01,"20613","20613","2061","FRIO","Máquinas, Equipamentos, Veículos e Peças","2001-12-03","2007-04-10","METALFRIO SOLUTIONS S.A.","Privado",12,"FABRICAÇÃO E COMERCIALIAZAÇÃO DE GELADEIRAS E SIMILARES, DE MÁQUINAS DE VENDAS AUTOMÁTICAS, COMPONENTES E PEÇAS"
"04.668.779/0001-79",2010-01-01,"19194","19194","1919",NA,"Emp. Adm. Part. - Petróleo e Gás","2001-12-06","2001-12-19","NOVAMARLIM PETROLEO SA","Privado",12,""
"04.652.792/0001-30",2012-01-01,"19240","19240","1924",NA,"Petróleo e Gás","2001-12-10","2002-02-07","CIA DE RECUPERAÇÃO SECUNDÁRIA","Privado",12,"Locação de Bens a Petróleo Brasileiro S.A. - PETROBRAS"
"14.876.090/0001-93",2022-01-01,"22764","22764","2276","GAFL","Securitização de Recebíveis","2002-01-09","2012-03-28","GAIA IMPACTO SECURITIZADORA S.A.","Privado",12,""
"04.992.714/0001-84",2023-01-01,"24708","24708","2470",NA,"Emp. Adm. Part. - Petróleo e Gás","2002-01-15","2019-04-18","Nova Transportadora do Sudeste S.A. - NTS","Privado",12,"Construção, instalação, operação e manutenção de gasodutos na região Sudeste e das instalações correspondentes, visando exclusivamente realizar ao transporte de gás natural por meio dos gasodutos."
"04.986.320/0001-13",2023-01-01,"23221","23221","2322","SEER","Educação","2002-03-19","2013-10-18","SER EDUCACIONAL S.A.","Privado",12,"Desenvolvimento e a administração de atividades e instituições no setor de educação e outras áreas associadas administração de bens e negócios próprios e participação em outras sociedades."
"04.972.092/0001-22",2023-01-01,"26166","26166","2616",NA,"Comércio (Atacado e Varejo)","2002-03-25","2021-08-16","GRUPO FARTURA DE HORTIFRUT S.A.","Privado",12,"Comércio varejista alimentar com foco em produtos perecíveis, tais como: frutas, verduras e raízes, tubérculos, hortaliças e legumes frescos."
"05.341.549/0001-63",2019-01-01,"21717","21717","2171","TRPN","Emp. Adm. Part. - Intermediação Financeira","2002-07-19","2009-05-21","TARPON INVESTIMENTOS S.A.","Privado Holding",12,"Empresa de participações."
"05.303.439/0001-07",2023-01-01,"26301","26301","2630",NA,"Petroquímicos e Borracha","2002-07-19","2021-11-03","Unigel Participações S.A.","Privado",12,"prestação de serviços comerciais e industriais para indústrias químicas e de transformação de resinas, preparação de misturas químicas, assistência técnica à indústria química e semelhantes."
"05.330.331/0001-03",2012-01-01,"19402","19402","1940",NA,"Emp. Adm. Part. - Sem Setor Principal","2002-08-29","2003-05-14","GLOBAL BRASIL SA","Privado",12,"Reunir detentores de Contratos de Investimento Coletivo e outros contratos de emissão das Fazendas Reunidas Boi Gordo S.A., pessoa jurídica de direito privado, em processo de falência."
"05.336.882/0001-84",2023-01-01,"22683","22683","2268",NA,"Energia Elétrica","2002-10-09","2011-12-19","CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.","Privado Holding",12,"Transmissão de energia elétrica."
"05.347.060/0001-07",2023-01-01,"26387","26387","2638",NA,"Farmacêutico e Higiene","2002-10-09","2021-11-19","Interplayers Soluções Integradas S.A.","Privado",12,"Prestação de serviços em redes de relacionamento no ramo farmacêutico assessoria em informática configuração e manutenção de programas de computação participação em outras sociedades."
"05.730.375/0001-20",2021-01-01,"24252","24252","2425","SMLS","Comércio (Atacado e Varejo)","2003-01-08","2017-10-10","SMILES FIDELIDADE S.A.","Privado",12,"Programa de fidelização que reúne, em único ambiente ou plataforma, diversos Parceiros e/ou outros programas de fidelização, permitindo que seus clientes possam acumular bem como trocar milhas."
"05.495.546/0001-84",2023-01-01,"24759","24759","2475","LTLA","Emp. Adm. Part. - Extração Mineral","2003-01-30","2019-09-05","Litela Participações S.A. - Em Liquidação","Privado",12,"A Cia tem como atividade a participação, sob qualquer forma, no capital de outras sociedades civis ou comerciais. Atualmente, a Cia tem participação somente na Vale S.A."
"05.889.284/0001-32",2022-01-01,"19470","19470","1947",NA,"Securitização de Recebíveis","2003-04-23","2003-12-16","CSA-COMPANHIA SECURITIZADORA DE ATIVOS","Privado",12,"Securitização de Recebíveis Imobiliários"
"05.878.397/0001-32",2023-01-01,"22357","22357","2235","ALOS","Emp. Adm. Part. - Comércio (Atacado e Varejo)","2003-07-08","2011-02-01","ALLOS S.A.","Privado Holding",12,"Planejamento, desenvolvimento, implantação e investimentos na área imobiliária, nomeadamente em Shopping Centers e a participação em outras sociedades e/ou em fundos de investimento imobiliário."
"05.878.397/0001-32",2023-01-01,"22357","22357","2235","ALSO","Emp. Adm. Part. - Comércio (Atacado e Varejo)","2003-07-08","2011-02-01","ALLOS S.A.","Privado Holding",12,"Planejamento, desenvolvimento, implantação e investimentos na área imobiliária, nomeadamente em Shopping Centers e a participação em outras sociedades e/ou em fundos de investimento imobiliário."
"05.878.397/0001-32",2023-01-01,"22357","22357","2235","SSBR","Emp. Adm. Part. - Comércio (Atacado e Varejo)","2003-07-08","2011-02-01","ALLOS S.A.","Privado Holding",12,"Planejamento, desenvolvimento, implantação e investimentos na área imobiliária, nomeadamente em Shopping Centers e a participação em outras sociedades e/ou em fundos de investimento imobiliário."
"05.799.312/0001-20",2021-01-01,"20354","20354","2035","TESA","Agricultura (Açúcar, Álcool e Cana)","2003-07-18","2006-11-09","TERRA SANTA AGRO S.A.","Privado",12,"- produção e comércio de produtos vegetais (soja, milho e algodão)- industrialização e comércio de biocombustíveis, óleo vegetal e subprodutos"
"04.987.555/0001-20",2011-01-01,"19500","19500","1950",NA,"Emp. Adm. Part. - Sem Setor Principal","2003-08-26","2004-01-06","BGPAR SA","Privado Holding",12,"Participação em outras sociedades, na qualidade de quotista ou acionista."
"05.918.309/0001-89",2016-01-01,"19518","19518","1951",NA,"Securitização de Recebíveis","2003-09-05","2004-02-16","PIPA CIA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS","Privado",12,"Aquisição e Securitização de Créditos Imobiliários"
"06.016.348/0001-53",2023-01-01,"24767","24767","2476",NA,"Energia Elétrica","2003-09-30","2019-09-12","Ventos do Sul Energia S.A.","Privado",12,"Geração, transmissão e distribuição de eneriga elétrica proveniente de fonte eólica para fins de comércio em caráter permanente, como Produtor Independente de Energia"
"05.917.486/0001-40",2023-01-01,"25895","25895","2589","LVTC","Comércio (Atacado e Varejo)","2003-10-02","2021-05-13","LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.","Privado",12,"A Companhia tem como atividade principal a exploração da indústria de eletrônicos, incluindo a locação e comercialização de equipamentos de informática, eletrônicos, telecomunicações e comunicação."
"06.018.000/0001-03",2015-01-01,"19542","19542","1954",NA,"Securitização de Recebíveis","2003-10-13","2004-05-18","FIBRA CIA SECURITIZADORA CRED IMOB","Privado",12,"possui como principal atividade a aquisição e securitização de créditos hipotecários e oriundos de operações e financiamentos imobiliários em geral"
"07.857.850/0001-50",2023-01-01,"80020","80020","8002","GPIV","Emp. Adm. Part. - Sem Setor Principal","2003-10-16","2006-05-30","GP INVESTMENTS, LTD.","Estrangeiro Holding",12,"Investimentos Alternativos, principalmente em Private equity"
"06.027.566/0001-93",2014-01-01,"19585","19585","1958",NA,"Securitização de Recebíveis","2003-10-22","2004-09-02","UNIVER CIDADE TRUST DE RECEBIVEIS SA","Privado",12,"Aquisição de Direitos Creditórios"
"11.423.623/0001-93",2018-01-01,"80110","80110","8011","DAGB","Emp. Adm. Part. - Comércio (Atacado e Varejo)","2003-11-04","2010-03-31","DUFRY A.G.","Estrangeiro Holding",12,"Adquirir, deter, administrar continuamente, vender e financiar participações em companhias de todos os tipos na Suíça e no exterior."
"06.033.448/0001-98",2016-01-01,"19526","19526","1952",NA,"Securitização de Recebíveis","2003-11-21","2004-03-17","TESLA COMPANHIA SECURITIZADORA DE CRÉDITOS","Privado",12,"Estruturação de Securitização de Créditos Imobiliários"
"06.047.087/0001-39",2023-01-01,"24821","24821","2482","RDOR","Serviços médicos","2003-12-16","2019-10-21","Rede D'Or São Luiz S.A.","Privado",12,""
"06.082.980/0001-03",2019-01-01,"21300","21300","2130","ALSC","Emp. Adm. Part. - Comércio (Atacado e Varejo)","2003-12-22","2008-01-18","ALIANSCE SHOPPING CENTERS S.A.","Privado",12,""
"06.057.223/0001-71",2023-01-01,"25372","25372","2537","ASAI","Comércio (Atacado e Varejo)","2004-01-05","2020-12-11","SENDAS DISTRIBUIDORA S.A.","Privado Holding",12,"Atacadista de autosserviços"
"06.948.969/0001-75",2021-01-01,"23035","23035","2303","LINX","Comunicação e Informática","2004-01-09","2013-02-06","LINX S.A.","Privado",12,""
"06.137.677/0001-52",2020-01-01,"19984","19984","1998",NA,"Securitização de Recebíveis","2004-01-20","2006-02-22","BRPR 56 SECURITIZADORA CRED IMOB S.A.","Privado",12,""
"06.164.253/0001-87",2023-01-01,"19569","19569","1956","GOLL","Emp. Adm. Part. - Serviços Transporte e Logística","2004-03-12","2004-06-09","GOL LINHAS AEREAS INTELIGENTES S.A.","Privado Holding",12,"Gestão de Participação Societária"
"06.977.745/0001-91",2023-01-01,"19909","19909","1990","BRML","Emp. Adm. Part. - Comércio (Atacado e Varejo)","2004-05-26","2006-01-04","BR MALLS PARTICIPACOES S.A.","Privado Holding",12,"Holding"
"06.977.751/0001-49",2023-01-01,"19925","19925","1992","BRPR","Emp. Adm. Part. - Sem Setor Principal","2004-05-26","2006-01-04","BR PROPERTIES S.A.","Privado",12,"Compra, venda e incorp. de imóveis comerciais prontos ou a construir admin de imóveis próprios ou de terceiros arrendamento, exploração com, locação sub-locação de imóveis comerciais própr. e outros"
"06.347.409/0001-65",2023-01-01,"25410","25410","2541",NA,"Comércio (Atacado e Varejo)","2004-06-23","2021-01-06","SBF Comércio de Produtos Esportivos S.A.","Privado Holding",12,"A Companhia tem como atividade principal o comércio de artigos relacionados ao setor esportivo."
"07.033.882/0001-30",2015-01-01,"19976","19976","1997",NA,"Securitização de Recebíveis","2004-08-02","2006-02-17","BRPR 52 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.","Privado",12,""
